Monat,Sparte,Tariflohnindex
2010-01-01,Insgesamt,110.4
2010-02-01,Insgesamt,110.6
2010-03-01,Insgesamt,110.6
2010-04-01,Insgesamt,110.6
2010-05-01,Insgesamt,110.9
2010-06-01,Insgesamt,110.9
2010-07-01,Insgesamt,110.9
2010-08-01,Insgesamt,111
2010-09-01,Insgesamt,111
2010-10-01,Insgesamt,111
2010-11-01,Insgesamt,111.2
2010-12-01,Insgesamt,111.2
2011-01-01,Insgesamt,112.3
2011-02-01,Insgesamt,112.4
2011-03-01,Insgesamt,112.5
2011-04-01,Insgesamt,112.7
2011-05-01,Insgesamt,113.2
2011-06-01,Insgesamt,113.2
2011-07-01,Insgesamt,113.3
2011-08-01,Insgesamt,113.3
2011-09-01,Insgesamt,113.3
2011-10-01,Insgesamt,113.3
2011-11-01,Insgesamt,113.6
2011-12-01,Insgesamt,113.6
2012-01-01,Insgesamt,115.1
2012-02-01,Insgesamt,116
2012-03-01,Insgesamt,116.1
2012-04-01,Insgesamt,116.3
2012-05-01,Insgesamt,116.9
2012-06-01,Insgesamt,116.9
2012-07-01,Insgesamt,117.2
2012-08-01,Insgesamt,117.2
2012-09-01,Insgesamt,117.2
2012-10-01,Insgesamt,117.2
2012-11-01,Insgesamt,117.5
2012-12-01,Insgesamt,117.6
2013-01-01,Insgesamt,118.9
2013-02-01,Insgesamt,119.1
2013-03-01,Insgesamt,119.1
2013-04-01,Insgesamt,119.3
2013-05-01,Insgesamt,119.9
2013-06-01,Insgesamt,120
2013-07-01,Insgesamt,120.1
2013-08-01,Insgesamt,120.1
2013-09-01,Insgesamt,120.1
2013-10-01,Insgesamt,120.1
2013-11-01,Insgesamt,120.3
2013-12-01,Insgesamt,120.3
2014-01-01,Insgesamt,121.5
2014-02-01,Insgesamt,121.7
2014-03-01,Insgesamt,122.2
2014-04-01,Insgesamt,122.5
2014-05-01,Insgesamt,122.8
2014-06-01,Insgesamt,122.8
2014-07-01,Insgesamt,122.9
2014-08-01,Insgesamt,122.9
2014-09-01,Insgesamt,123
2014-10-01,Insgesamt,123
2014-11-01,Insgesamt,123.2
2014-12-01,Insgesamt,123.2
2015-01-01,Insgesamt,124.2
2015-02-01,Insgesamt,124.3
2015-03-01,Insgesamt,124.8
2015-04-01,Insgesamt,125
2015-05-01,Insgesamt,125.5
2015-06-01,Insgesamt,125.5
2015-07-01,Insgesamt,125.6
2015-08-01,Insgesamt,125.6
2015-09-01,Insgesamt,125.6
2015-10-01,Insgesamt,125.7
2015-11-01,Insgesamt,125.8
2015-12-01,Insgesamt,125.8
2016-01-01,Insgesamt,126.8
2016-02-01,Insgesamt,126.9
2016-03-01,Insgesamt,126.9
2016-04-01,Insgesamt,127
2016-05-01,Insgesamt,127.4
2016-06-01,Insgesamt,127.4
2016-07-01,Insgesamt,127.4
2016-08-01,Insgesamt,127.4
2016-09-01,Insgesamt,127.4
2016-10-01,Insgesamt,127.4
2016-11-01,Insgesamt,127.6
2016-12-01,Insgesamt,127.6
2017-01-01,Insgesamt,128.53933333333333
2017-02-01,Insgesamt,128.6666
2017-03-01,Insgesamt,128.6666
2017-04-01,Insgesamt,128.6666
2017-05-01,Insgesamt,129.17566666666664
2017-06-01,Insgesamt,129.17566666666664
2017-07-01,Insgesamt,129.17566666666664
2017-08-01,Insgesamt,129.17566666666664
2017-09-01,Insgesamt,129.30293333333333
2017-10-01,Insgesamt,129.30293333333333
2017-11-01,Insgesamt,129.55746666666667
2017-12-01,Insgesamt,129.812
2018-01-01,Insgesamt,131.59373333333335
2018-02-01,Insgesamt,131.84826666666666
2018-03-01,Insgesamt,131.84826666666666
2018-04-01,Insgesamt,132.1028
2018-05-01,Insgesamt,132.61186666666666
2018-06-01,Insgesamt,132.7391333333333
2018-07-01,Insgesamt,132.8664
2018-08-01,Insgesamt,132.8664
2018-09-01,Insgesamt,132.8664
2018-10-01,Insgesamt,132.8664
2018-11-01,Insgesamt,133.2482
2018-12-01,Insgesamt,133.2482
2019-01-01,Insgesamt,135.41173333333333
2019-02-01,Insgesamt,135.79353333333336
2019-03-01,Insgesamt,135.92079999999999
2019-04-01,Insgesamt,136.04806666666667
2019-05-01,Insgesamt,136.81166666666667
2019-06-01,Insgesamt,136.81166666666667
2019-07-01,Insgesamt,136.93893333333332
2019-08-01,Insgesamt,136.93893333333332
2019-09-01,Insgesamt,136.93893333333332
2019-10-01,Insgesamt,136.93893333333332
2019-11-01,Insgesamt,137.32073333333335
2019-12-01,Insgesamt,137.32073333333335
2020-01-01,Insgesamt,139.10246666666666
2020-02-01,Insgesamt,139.357
2020-03-01,Insgesamt,139.357
2020-04-01,Insgesamt,139.48426666666666
2020-05-01,Insgesamt,139.86606666666665
2020-06-01,Insgesamt,139.86606666666665
2020-07-01,Insgesamt,139.99333333333334
2020-08-01,Insgesamt,139.99333333333334
2020-09-01,Insgesamt,139.99333333333334
2020-10-01,Insgesamt,139.99333333333334
2020-11-01,Insgesamt,140.24786666666668
2020-12-01,Insgesamt,140.24786666666668
2021-01-01,Insgesamt,141.52053333333333
2021-02-01,Insgesamt,141.6478
2021-03-01,Insgesamt,141.6478
2021-04-01,Insgesamt,141.90233333333333
2021-05-01,Insgesamt,142.28413333333333
2021-06-01,Insgesamt,142.28413333333333
2021-07-01,Insgesamt,142.28413333333333
2021-08-01,Insgesamt,142.28413333333333
2021-09-01,Insgesamt,142.28413333333333
2021-10-01,Insgesamt,142.41140000000001
2021-11-01,Insgesamt,142.79319999999998
2021-12-01,Insgesamt,142.79319999999998
2022-01-01,Insgesamt,145.21126666666666
2022-02-01,Insgesamt,145.33853333333334
2022-03-01,Insgesamt,145.4658
2022-04-01,Insgesamt,145.5930666666667
2022-05-01,Insgesamt,146.6112
2022-06-01,Insgesamt,146.73846666666665
2022-07-01,Insgesamt,146.86573333333334
2022-08-01,Insgesamt,146.86573333333334
2022-09-01,Insgesamt,146.86573333333334
2022-10-01,Insgesamt,146.993
2022-11-01,Insgesamt,147.88386666666668
2022-12-01,Insgesamt,148.01113333333333
2023-01-01,Insgesamt,154.629
2023-02-01,Insgesamt,155.0108
2023-03-01,Insgesamt,155.13806666666667
2023-04-01,Insgesamt,155.77440000000001
2023-05-01,Insgesamt,158.19246666666666
2023-06-01,Insgesamt,158.19246666666666
2023-07-01,Insgesamt,158.57426666666666
2023-08-01,Insgesamt,158.57426666666666
2023-09-01,Insgesamt,158.70153333333334
2023-10-01,Insgesamt,158.8288
2023-11-01,Insgesamt,159.9742
2023-12-01,Insgesamt,160.10146666666665
2024-01-01,Insgesamt,168.62833333333333
2024-02-01,Insgesamt,169.01013333333336
2024-03-01,Insgesamt,169.1374
2024-04-01,Insgesamt,169.64646666666667
2024-05-01,Insgesamt,171.5554666666667
2024-06-01,Insgesamt,171.68273333333335
2024-07-01,Insgesamt,171.81
2024-08-01,Insgesamt,171.81
2010-01-01,GEWERBE UND HANDWERK,110.8
2010-02-01,GEWERBE UND HANDWERK,110.8
2010-03-01,GEWERBE UND HANDWERK,110.9
2010-04-01,GEWERBE UND HANDWERK,110.9
2010-05-01,GEWERBE UND HANDWERK,111.4
2010-06-01,GEWERBE UND HANDWERK,111.4
2010-07-01,GEWERBE UND HANDWERK,111.5
2010-08-01,GEWERBE UND HANDWERK,111.5
2010-09-01,GEWERBE UND HANDWERK,111.5
2010-10-01,GEWERBE UND HANDWERK,111.5
2010-11-01,GEWERBE UND HANDWERK,111.5
2010-12-01,GEWERBE UND HANDWERK,111.5
2011-01-01,GEWERBE UND HANDWERK,113.1
2011-02-01,GEWERBE UND HANDWERK,113.1
2011-03-01,GEWERBE UND HANDWERK,113.1
2011-04-01,GEWERBE UND HANDWERK,113.1
2011-05-01,GEWERBE UND HANDWERK,114.1
2011-06-01,GEWERBE UND HANDWERK,114.1
2011-07-01,GEWERBE UND HANDWERK,114.2
2011-08-01,GEWERBE UND HANDWERK,114.2
2011-09-01,GEWERBE UND HANDWERK,114.2
2011-10-01,GEWERBE UND HANDWERK,114.3
2011-11-01,GEWERBE UND HANDWERK,114.3
2011-12-01,GEWERBE UND HANDWERK,114.3
2012-01-01,GEWERBE UND HANDWERK,117
2012-02-01,GEWERBE UND HANDWERK,117
2012-03-01,GEWERBE UND HANDWERK,117
2012-04-01,GEWERBE UND HANDWERK,117.1
2012-05-01,GEWERBE UND HANDWERK,118.5
