Monat,Verbraucherpreisindex,Produktgruppe
2011-01-01,101,Gesamt
2011-02-01,101.7,Gesamt
2011-03-01,102.9,Gesamt
2011-04-01,103.4,Gesamt
2011-05-01,103.5,Gesamt
2011-06-01,103.5,Gesamt
2011-07-01,103.3,Gesamt
2011-08-01,103.5,Gesamt
2011-09-01,103.9,Gesamt
2011-10-01,104,Gesamt
2011-11-01,104.1,Gesamt
2011-12-01,104.3,Gesamt
2012-01-01,103.8,Gesamt
2012-02-01,104.3,Gesamt
2012-03-01,105.4,Gesamt
2012-04-01,105.8,Gesamt
2012-05-01,105.7,Gesamt
2012-06-01,105.8,Gesamt
2012-07-01,105.5,Gesamt
2012-08-01,105.8,Gesamt
2012-09-01,106.7,Gesamt
2012-10-01,106.9,Gesamt
2012-11-01,107,Gesamt
2012-12-01,107.2,Gesamt
2013-01-01,106.6,Gesamt
2013-02-01,106.9,Gesamt
2013-03-01,107.8,Gesamt
2013-04-01,107.9,Gesamt
2013-05-01,108.1,Gesamt
2013-06-01,108.1,Gesamt
2013-07-01,107.6,Gesamt
2013-08-01,107.7,Gesamt
2013-09-01,108.5,Gesamt
2013-10-01,108.4,Gesamt
2013-11-01,108.5,Gesamt
2013-12-01,109.2,Gesamt
2014-01-01,108.3,Gesamt
2014-02-01,108.5,Gesamt
2014-03-01,109.6,Gesamt
2014-04-01,109.7,Gesamt
2014-05-01,110,Gesamt
2014-06-01,110.1,Gesamt
2014-07-01,109.5,Gesamt
2014-08-01,109.5,Gesamt
2014-09-01,110.2,Gesamt
2014-10-01,110.1,Gesamt
2014-11-01,110.3,Gesamt
2014-12-01,110.3,Gesamt
2015-01-01,109.1,Gesamt
2015-02-01,109.4,Gesamt
2015-03-01,110.7,Gesamt
2015-04-01,110.8,Gesamt
2015-05-01,111.1,Gesamt
2015-06-01,111.2,Gesamt
2015-07-01,110.8,Gesamt
2015-08-01,110.6,Gesamt
2015-09-01,111,Gesamt
2015-10-01,110.9,Gesamt
2015-11-01,111,Gesamt
2015-12-01,111.4,Gesamt
2016-01-01,110.4786,Gesamt
2016-02-01,110.5893,Gesamt
2016-03-01,111.4749,Gesamt
2016-04-01,111.4749,Gesamt
2016-05-01,111.807,Gesamt
2016-06-01,111.9177,Gesamt
2016-07-01,111.4749,Gesamt
2016-08-01,111.2535,Gesamt
2016-09-01,112.0284,Gesamt
2016-10-01,112.3605,Gesamt
2016-11-01,112.4712,Gesamt
2016-12-01,113.0247,Gesamt
2017-01-01,112.6926,Gesamt
2017-02-01,113.0247,Gesamt
2017-03-01,113.5782,Gesamt
2017-04-01,113.7996,Gesamt
2017-05-01,113.9103,Gesamt
2017-06-01,114.021,Gesamt
2017-07-01,113.6889,Gesamt
2017-08-01,113.5782,Gesamt
2017-09-01,114.6852,Gesamt
2017-10-01,114.7959,Gesamt
2017-11-01,115.0173,Gesamt
2017-12-01,115.4601,Gesamt
2018-01-01,114.6852,Gesamt
2018-02-01,115.0173,Gesamt
2018-03-01,115.6815,Gesamt
2018-04-01,115.9029,Gesamt
2018-05-01,116.1243,Gesamt
2018-06-01,116.3457,Gesamt
2018-07-01,116.1243,Gesamt
2018-08-01,116.1243,Gesamt
2018-09-01,117.0099,Gesamt
