"",Sparte Gewerbe und Handwerk,,Sparte Gewerbe und Handwerk,Anmerkungen:
101,Bau,101,Bau,
102,Steinmetze,102,,entfällt (wandert zu 106)
103,"Dachdecker, Glaser und Spengler",103,"Dachdecker, Glaser und Spengler",
104,"Hafner, Platten- und Fliesenleger und Keramiker",104,"Hafner, Platten- und Fliesenleger und Keramiker",
105,Maler und Tapezierer,105,Maler und Tapezierer,
106,Bauhilfsgewerbe,106,Bauhilfsgewerbe,plus 102
107,Holzbau,107,Holzbau,
108,Tischler und Holzgestaltende Gewerbe,108,Tischler und Holzgestaltende Gewerbe,
109,"Karosseriebautechniker, -lackierer und Wagner",109,,entfällt (wandert zu 115)
110,Metalltechniker,110,Metalltechniker,
111,"Sanitär-, Heizungs- und Lüftungstechniker",111,"Sanitär-, Heizungs- und Lüftungstechniker",
112,"Elektro-, Gebäude-, Alarm- und Kommunikationstechniker",112,"Elektro-, Gebäude-, Alarm- und Kommunikationstechniker",
113,Kunststoffverarbeiter,113,Kunststoffverarbeiter,
114,Mechatroniker,114,Mechatroniker,
115,Kraftfahrzeugtechniker,115,Kraftfahrzeugtechnik,"neue Bezeichnung, plus 109"
116,Kunsthandwerke,116,Kunsthandwerke,
117,Mode und Bekleidungstechnik,117,Mode und Bekleidungstechnik,
118,Gesundheitsberufe,118,Gesundheitsberufe,
119,Lebensmittelgewerbe,119,Lebensmittelgewerbe,
120,"Fußpfleger, Kosmetiker und Masseure",120,"Fußpfleger, Kosmetiker und Masseure",
121,Gärtner und Floristen,121,Gärtner und Floristen,
122,Berufsfotografen,122,Berufsfotografen,
123,"Chemische Gewerbe u.Denkmal-, Fassaden- u.Gebäudereiniger",123,"Chemische Gewerbe u.Denkmal-, Fassaden- u.Gebäudereiniger",
124,Friseure,124,Friseure,
125,Rauchfangkehrer und Bestatter,125,Rauchfangkehrer und Bestatter,
126,Gewerbliche Dienstleister,126,Gewerbliche Dienstleister,"minus einige BZ, plus Wärmeversorger-Biomasse"
"",,127,Personenberatung und Personenbetreuung,"einige BZ aus 126 (Lebens- und Sozialberater, Selbständige Personenbetreuer)"
"",,128,Persönliche Dienstleister,
"",,129,Film- und Musikwirtschaft,
"",Sparte Industrie,,Sparte Industrie,
201,Bergwerke und Stahl,201,Bergwerke und Stahl,
202,Mineralölindustrie,202,Mineralölindustrie,
203,Stein- und keramische Industrie,203,Stein- und keramische Industrie,
204,Glasindustrie,204,Glasindustrie,
205,Chemische Industrie,205,Chemische Industrie,
206,Papierindustrie,206,Papierindustrie,
207,Papierverarbeitende Industrie,207,Industrielle Hersteller von Produkten aus Papier und Karton,neue Bezeichnung
208,Film- und Musikindustrie,,,entfällt (wird NEU 129)
209,Bauindustrie,209,Bauindustrie,
210,Holzindustrie,210,Holzindustrie,
211,Nahrungs- u.Genussmittelindustrie (Lebensmittelindustrie),211,Nahrungs- u.Genussmittelindustrie (Lebensmittelindustrie),
212,"Textil-, Bekleidungs-, Schuh- und Lederindustrie",212,"Textil-, Bekleidungs-, Schuh- und Lederindustrie",
213,Gas- und Wärmeversorgungsunternehmungen,213,Gas- und Wärmeversorgungsunternehmungen,minus Wärmeversorger-Biomasse
214,Gießereiindustrie,,,entfällt (wandert zu 216)
215,NE-Metallindustrie,215,NE-Metallindustrie,
216,Maschinen & Metallwaren,216,"Maschinen-, Metallwaren- und Gießereiindustrie",plus 214
217,Fahrzeugindustrie,217,Fahrzeugindustrie,
218,Elektro- und Elektronikindustrie,218,Elektro- und Elektronikindustrie,
"",Sparte Handel,,Sparte Handel,
301,Lebensmittelhandel,301,Lebensmittelhandel,
302,Tabaktrafikanten,302,Tabaktrafikanten,
303,Arzneimittel/Drogerie/Parfümerie/Chemikalien/Farbenhandel,303,Arzneimittel/Drogerie/Parfümerie/Chemikalien/Farbenhandel,
304,Agrarhandel,304,Agrarhandel,
305,Energiehandel,305,Energiehandel,
306,"Markt-, Straßen- und Wanderhandel",306,"Markt-, Straßen- und Wanderhandel",
307,Außenhandel,307,Außenhandel,
308,BG des Handels mit Mode und Freizeitartikeln,308,BG des Handels mit Mode und Freizeitartikeln,
